"","model","itter","acc","kappa","sensW","sensL","sensD"
"245","mlog",49,0.6125,0.384768047630861,0.833333333333333,0.521739130434783,0.333333333333333
"246","rf",50,0.5875,0.341810022438295,0.939393939393939,0.52,0.136363636363636
"247","nnet",50,0.6375,0.438935912938331,0.848484848484849,0.68,0.272727272727273
"248","knn",50,0.6125,0.38750308718202,0.939393939393939,0.56,0.181818181818182
"249","NB",50,0.575,0.336099585062241,0.878787878787879,0.44,0.272727272727273
"250","mlog",50,0.6375,0.427443237907206,0.939393939393939,0.6,0.227272727272727
"251","rf",51,0.65,0.435483870967742,0.894736842105263,0.764705882352941,0.2
"252","nnet",51,0.5875,0.348630643967432,0.842105263157895,0.882352941176471,0
"253","knn",51,0.6625,0.447287615148414,0.973684210526316,0.705882352941177,0.16
"254","NB",51,0.65,0.44125717136443,0.868421052631579,0.588235294117647,0.36
"255","mlog",51,0.5875,0.32977913175933,0.842105263157895,0.647058823529412,0.16
"256","rf",52,0.6,0.366650173181593,0.794117647058823,0.615384615384615,0.25
"257","nnet",52,0.6375,0.41620533467539,0.852941176470588,0.807692307692308,0.05
"258","knn",52,0.6375,0.426026719445819,0.764705882352941,0.692307692307692,0.35
"259","NB",52,0.6375,0.436071949440933,0.735294117647059,0.653846153846154,0.45
"260","mlog",52,0.6375,0.433317049340498,0.735294117647059,0.730769230769231,0.35
"261","rf",53,0.6,0.354513363590519,0.864864864864865,0.379310344827586,0.357142857142857
"262","nnet",53,0.625,0.367588932806324,0.837837837837838,0.620689655172414,0.0714285714285714
"263","knn",53,0.6375,0.402523821787278,0.891891891891892,0.448275862068966,0.357142857142857
"264","NB",53,0.6625,0.459594696022017,0.891891891891892,0.413793103448276,0.571428571428571
"265","mlog",53,0.6625,0.460943349139007,0.783783783783784,0.586206896551724,0.5
"266","rf",54,0.55,0.297046619477667,0.852941176470588,0.588235294117647,0.172413793103448
"267","nnet",54,0.5125,0.239951278928136,0.823529411764706,0.470588235294118,0.172413793103448
"268","knn",54,0.55,0.29186132284239,0.941176470588235,0.647058823529412,0.0344827586206897
"269","NB",54,0.575,0.335288367546432,0.911764705882353,0.647058823529412,0.137931034482759
"270","mlog",54,0.525,0.252704031465093,0.852941176470588,0.529411764705882,0.137931034482759
"271","rf",55,0.675,0.45478374836173,0.837209302325581,0.608695652173913,0.285714285714286
"272","nnet",55,0.7,0.507944643772424,0.790697674418605,0.695652173913043,0.428571428571429
"273","knn",55,0.675,0.457909825384415,0.813953488372093,0.652173913043478,0.285714285714286
"274","NB",55,0.675,0.456066945606695,0.813953488372093,0.608695652173913,0.357142857142857
"275","mlog",55,0.7375,0.561929595827901,0.837209302325581,0.739130434782609,0.428571428571429
"276","rf",56,0.5875,0.321859748266119,0.810810810810811,0.555555555555556,0.28
"277","nnet",56,0.6,0.358556752693561,0.918918918918919,0.777777777777778,0
"278","knn",56,0.625,0.386816555952989,0.918918918918919,0.5,0.28
"279","NB",56,0.575,0.311043566362715,0.837837837837838,0.333333333333333,0.36
"280","mlog",56,0.6625,0.453164556962025,0.864864864864865,0.666666666666667,0.36
"281","rf",57,0.625,0.421268386785628,0.741935483870968,0.785714285714286,0.238095238095238
"282","nnet",57,0.6375,0.443511633485248,0.741935483870968,0.785714285714286,0.285714285714286
"283","knn",57,0.6875,0.521759923481588,0.870967741935484,0.714285714285714,0.380952380952381
"284","NB",57,0.7125,0.558541266794626,0.870967741935484,0.75,0.428571428571429
"285","mlog",57,0.6875,0.512907939600585,0.870967741935484,0.821428571428571,0.238095238095238
"286","rf",58,0.7,0.498563593627579,0.897435897435897,0.583333333333333,0.411764705882353
"287","nnet",58,0.65,0.406622516556291,0.846153846153846,0.791666666666667,0
"288","knn",58,0.7,0.497645211930926,0.923076923076923,0.583333333333333,0.352941176470588
"289","NB",58,0.7125,0.531925718646655,0.871794871794872,0.541666666666667,0.588235294117647
"290","mlog",58,0.6875,0.492256917999492,0.846153846153846,0.541666666666667,0.529411764705882
"291","rf",59,0.65,0.400749063670412,0.818181818181818,0.666666666666667,0.222222222222222
"292","nnet",59,0.7,0.49685534591195,0.818181818181818,0.777777777777778,0.333333333333333
"293","knn",59,0.7125,0.497267759562842,0.886363636363636,0.777777777777778,0.222222222222222
"294","NB",59,0.675,0.443552701979668,0.840909090909091,0.666666666666667,0.277777777777778
"295","mlog",59,0.7,0.475409836065574,0.863636363636364,0.777777777777778,0.222222222222222
"296","rf",60,0.6125,0.404990403071017,0.777777777777778,0.535714285714286,0.375
"297","nnet",60,0.5875,0.35672514619883,0.777777777777778,0.535714285714286,0.25
"298","knn",60,0.6625,0.469026548672566,0.833333333333333,0.571428571428571,0.4375
"299","NB",60,0.625,0.421965317919075,0.805555555555556,0.5,0.4375
"300","mlog",60,0.625,0.4180407371484,0.777777777777778,0.571428571428571,0.375
"301","rf",61,0.55,0.273827534039334,0.885714285714286,0.416666666666667,0.142857142857143
"302","nnet",61,0.5875,0.330119259071302,0.828571428571429,0.75,0
"303","knn",61,0.6125,0.382162431489786,0.914285714285714,0.416666666666667,0.333333333333333
"304","NB",61,0.55,0.272910881090634,0.914285714285714,0.333333333333333,0.19047619047619
"305","mlog",61,0.5625,0.298948422633951,0.828571428571429,0.458333333333333,0.238095238095238
"306","rf",62,0.5875,0.348469891411649,0.833333333333333,0.375,0.4
"307","nnet",62,0.675,0.473684210526316,0.916666666666667,0.875,0
"308","knn",62,0.6625,0.465875370919881,0.888888888888889,0.5,0.45
"309","NB",62,0.675,0.490196078431373,0.861111111111111,0.5,0.55
"310","mlog",62,0.675,0.487684729064039,0.861111111111111,0.625,0.4
"311","rf",63,0.65,0.428717163988778,0.842105263157895,0.666666666666667,0.285714285714286
"312","nnet",63,0.65,0.418634830002595,0.894736842105263,0.857142857142857,0
"313","knn",63,0.625,0.382557242089015,0.868421052631579,0.571428571428571,0.238095238095238
"314","NB",63,0.625,0.390553580497715,0.815789473684211,0.666666666666667,0.238095238095238
"315","mlog",63,0.65,0.426229508196721,0.842105263157895,0.761904761904762,0.19047619047619
"316","rf",64,0.5875,0.348791317217563,0.882352941176471,0.444444444444444,0.263157894736842
"317","nnet",64,0.625,0.387598877264608,0.911764705882353,0.703703703703704,0
"318","knn",64,0.6125,0.387048937221948,0.911764705882353,0.481481481481481,0.263157894736842
"319","NB",64,0.6125,0.400676655389077,0.882352941176471,0.37037037037037,0.473684210526316
"320","mlog",64,0.6125,0.389162561576355,0.882352941176471,0.481481481481481,0.315789473684211
"321","rf",65,0.65,0.456442611016744,0.771428571428571,0.708333333333333,0.380952380952381
"322","nnet",65,0.6125,0.384462645817821,0.8,0.875,0
"323","knn",65,0.6125,0.389162561576355,0.8,0.625,0.285714285714286
"324","NB",65,0.6375,0.428571428571428,0.828571428571429,0.625,0.333333333333333
"325","mlog",65,0.6375,0.432068543451652,0.8,0.666666666666667,0.333333333333333
"326","rf",66,0.6125,0.396005845104725,0.702702702702703,0.615384615384615,0.411764705882353
"327","nnet",66,0.625,0.414491339351061,0.702702702702703,0.653846153846154,0.411764705882353
"328","knn",66,0.6125,0.388107574636072,0.783783783783784,0.461538461538462,0.470588235294118
"329","NB",66,0.575,0.334800684764001,0.783783783783784,0.423076923076923,0.352941176470588
"330","mlog",66,0.675,0.483358171882762,0.783783783783784,0.653846153846154,0.470588235294118
"331","rf",67,0.625,0.41930800871038,0.848484848484849,0.5,0.428571428571429
"332","nnet",67,0.6,0.360799001248439,0.878787878787879,0.730769230769231,0
"333","knn",67,0.5625,0.311362518445647,0.848484848484849,0.384615384615385,0.333333333333333
"334","NB",67,0.6125,0.39922480620155,0.818181818181818,0.5,0.428571428571429
